,nonadapt,adapt,novel
558,None,None,None
559,None,None,j
560,None,None,None
561,None,None,None
562,None,None,None
563,None,None,None
564,None,None,j
565,None,None,j
566,None,None,None
567,None,None,None
568,None,None,None
569,None,None,None
570,None,None,None
571,None,None,None
572,None,None,None
573,None,None,None
574,None,None,None
575,j,j,j
576,None,None,j
577,None,None,None
578,None,None,None
579,None,None,None
580,None,None,None
581,None,None,None
582,None,None,None
583,None,None,None
584,j,j,None
585,None,None,None
586,None,None,None
587,None,None,None
588,None,None,None
589,None,None,None
590,None,None,None
591,None,None,None
592,None,None,None
593,None,None,None
594,None,None,None
595,None,None,None
596,None,None,None
597,None,None,None
598,None,None,None
599,None,None,None
600,None,None,None
601,None,None,None
602,None,None,None
603,None,None,None
604,None,None,None
605,None,None,None
606,None,None,None
607,None,None,None
608,None,None,None
609,None,None,None
610,j,None,None
611,j,j,j
612,None,None,None
613,None,None,None
614,None,None,None
615,j,None,None
616,None,None,None
617,j,None,None
618,j,None,None
619,None,None,None
620,None,None,None
621,None,None,None
622,None,None,None
623,None,None,None
624,None,None,None
625,None,None,None
626,None,None,None
627,None,None,None
628,j,j,j
629,None,None,None
630,None,None,None
631,None,None,None
632,None,None,None
633,None,None,None
634,None,None,None
635,None,None,None
636,None,None,None
637,None,None,None
638,j,j,j
639,None,None,None
640,None,None,None
641,None,None,None
642,None,None,None
643,None,None,None
644,None,None,None
645,None,None,None
646,None,None,None
647,None,None,None
648,None,None,None
649,None,None,None
650,None,None,None
651,j,j,j
652,None,None,None
653,None,None,None
654,None,None,None
655,None,None,j
656,None,None,j
657,None,None,None
658,None,None,None
659,None,None,None
660,None,None,None
661,None,None,None
662,None,None,None
663,None,None,None
664,None,None,None
665,None,None,None
666,j,j,j
667,None,None,None
668,None,None,None
669,None,None,None
670,None,None,None
671,None,None,None
672,None,None,None
673,None,None,None
674,j,None,None
675,j,None,None
676,None,None,None
677,j,None,None
678,None,j,None
679,None,None,None
680,None,None,None
681,None,None,None
682,None,None,None
683,j,None,None
684,j,None,None
685,None,None,None
686,None,None,None
687,j,None,None
688,None,None,None
689,None,None,None
690,None,None,None
691,None,None,None
692,None,None,None
693,None,None,None
694,None,None,None
695,None,None,j
696,None,None,None
697,None,None,None
698,None,None,None
699,j,j,j
700,None,None,None
701,None,None,None
702,None,None,None
703,None,None,None
704,None,None,None
705,None,None,None
706,None,None,None
707,None,None,None
708,None,None,None
709,None,None,None
710,j,None,None
711,None,None,None
712,None,None,None
713,None,None,None
714,None,None,None
715,None,None,None
716,None,None,None
717,j,None,None
718,None,None,None
719,j,j,j
720,None,None,None
721,j,None,None
722,None,None,None
723,None,None,None
724,None,None,None
725,None,None,None
726,None,None,None
727,None,None,None
728,j,j,None
729,None,None,None
730,j,None,None
731,None,None,None
732,j,None,None
733,None,None,None
734,None,None,None
735,j,None,None
736,j,None,None
737,None,None,None
738,None,None,None
739,j,j,None
740,None,None,None
741,None,None,None
742,j,None,None
743,None,None,None
744,j,None,j
745,None,None,j
746,None,None,None
747,None,None,None
748,None,None,None
749,None,None,None
750,None,None,None
751,None,None,None
752,None,None,None
753,None,None,None
754,None,None,None
755,j,j,j
756,None,None,None
757,None,None,None
758,None,None,None
759,None,None,None
760,None,None,None
761,None,None,None
762,None,None,None
763,None,None,None
764,None,None,None
765,None,None,None
766,j,j,j
767,None,None,None
768,None,None,None
769,None,None,None
770,None,None,None
771,None,None,None
772,None,None,None
773,None,None,None
774,None,None,None
775,None,None,None
776,None,None,None
777,None,j,None
778,None,None,None
779,None,None,None
780,None,None,None
781,None,None,None
782,None,None,None
783,None,None,None
784,None,None,None
785,None,None,None
786,None,None,None
787,j,None,None
788,None,None,None
789,None,None,None
790,None,None,None
791,None,None,None
792,j,None,None
793,None,None,None
794,j,None,None
795,None,None,None
796,None,None,None
797,None,None,None
798,j,None,None
799,None,None,None
800,None,None,None
801,None,None,None
802,j,None,None
803,None,None,None
804,j,None,None
805,None,None,None
806,None,None,None
807,None,None,j
808,None,None,None
809,None,None,None
810,None,None,None
811,None,None,None
812,None,None,None
813,None,None,None
814,None,None,None
815,None,None,None
816,None,None,None
