grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,resp.started,grating.stopped,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
5,,,,,0,0,0,1,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,92.48204049999913,93.04890489999889,93.04890489999889,93.63245029999962,0.5996092000004865,93.64866359999905,95.63209579999966,2.5991773000005196,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,95.64896789999875,96.19888139999966,96.19888139999966,96.432299099999,0.24954429999888816,96.44874069999969,98.43225919999895,2.2494989999995596,j,1,decreament,0.24,12,oddball,j,40,0.5762973999990209,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,98.44885769999928,99.06568779999907,99.06568779999907,99.64899799999876,0.5993242000004102,99.66567880000002,101.64903029999914,2.599361599999611,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,101.66574299999957,102.23251820000041,102.23251820000041,102.81591429999935,0.5993646000006265,102.8324991999998,104.81642329999886,2.599960600000486,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,104.8328537999987,105.46601569999984,105.46601569999984,106.04928540000037,0.599454399998649,106.06591939999998,108.04948279999917,2.599714399999357,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,108.0663444999991,108.78309189999891,108.78309189999891,109.38311199999953,0.6150168999993184,109.38311199999953,111.38309920000029,2.614999399998851,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,111.39967169999909,112.09977040000012,112.09977040000012,112.68336269999963,0.5993329000011727,112.69996790000005,114.68306080000002,2.5989809000002424,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,114.69964970000001,115.23312289999922,115.23312289999922,115.8165267000004,0.5993610000004992,115.83305819999987,117.81635350000033,2.599188600001071,j,0,decreament,0.6,11,standard,None,100,1.3555937000000995,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,117.83303809999961,118.39981529999932,118.39981529999932,118.98340780000035,0.5993263000000297,119.00008489999891,120.98362090000046,2.5995922000001883,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
5,,,,,0,0,0,1,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,120.99993539999923,121.61702340000011,121.61702340000011,122.21699350000017,0.6149689999983821,122.21699350000017,124.21704419999878,2.6150109999998676,None,1,decreament,0.6,11,standard,None,100,,,,,,,,m,20,233,fr,r,0,raw,2023-04-04_16h00.03.122,oddball,2022.2.5,60.204913443599324,
