grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,resp.started,grating.stopped,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
20,,,,,0,0,0,3,9,0,9,0,0,0,0,0,,,,,,,,,,,,,,,1329.47087010002,1329.47087010002,1335.0629454000155,1335.7623708000174,1335.7623708000174,1336.362142500002,0.6148997000418603,1336.362142500002,1338.3769241999835,2.629547199991066,None,1,decreament,0.6,41,standard,None,100,,1271.2986705999938,0.0019117000047117472,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,1,0,1,0,,,,,,,,,,,,,,,,,1338.393610899977,1339.1261213999824,1339.1261213999824,1339.725686700025,0.6153180000255816,1339.725686700025,1341.740582600003,2.6301944000297226,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,2,0,2,0,,,,,,,,,,,,,,,,,1341.7575491000316,1342.3237361999927,1342.3237361999927,1342.9234740000102,0.6154383000102825,1342.9234740000102,1344.9382223000284,2.6301499000401236,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,3,0,3,0,,,,,,,,,,,,,,,,,1344.9552516000113,1345.571087600023,1345.571087600023,1346.170587300032,0.6155916000134312,1346.170587300032,1348.1853716000332,2.630370899976697,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,4,0,4,0,,,,,,,,,,,,,,,,,1348.2025950999814,1348.835011999996,1348.835011999996,1349.4342336999835,0.6146786999888718,1349.4342336999835,1351.4491806000005,2.629591899982188,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,5,0,5,0,,,,,,,,,,,,,,,,,1351.4664099999936,1352.0827072000247,1352.0827072000247,1352.6813713000156,0.614766700018663,1352.6813713000156,1354.680314600002,2.630171600030735,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,6,0,6,0,,,,,,,,,,,,,,,,,1354.7136349999928,1355.4631093000062,1355.4631093000062,1355.812676600006,0.365747400035616,1355.829626700026,1357.8279679000261,2.3808994000428356,j,1,decreament,0.36,43,oddball,j,60,0.9648165000253357,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,7,0,7,0,,,,,,,,,,,,,,,,,1357.844605099992,1358.5934750000015,1358.5934750000015,1359.1931383999763,0.6149796999525279,1359.1931383999763,1361.2085285999929,2.630483299959451,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,8,0,8,0,,,,,,,,,,,,,,,,,1361.2250898000202,1361.9078349000192,1361.9078349000192,1362.5070048000198,0.6147091999882832,1362.5070048000198,1364.5219348000246,2.629635099961888,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,9,0,9,0,9,0,9,0,,,,,,,,,,,,,,,,,1364.5388223000336,1365.1049732000101,1365.1049732000101,1365.7043798000086,0.6152984999935143,1365.7043798000086,1367.7197103999788,2.6306071000290103,None,1,decreament,0.6,41,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
