participant,scaling,d,grating_freq,direction
205,140,1.3728064658166503,5,increment
205,160,1.9504677749572104,5,increment
205,40,4.9589337706033305,10,decrement
205,60,2.729409691554486,10,decrement
205,80,0.0,10,decrement
205,120,-0.4498712684491868,10,increment
205,140,1.7796528105996556,10,increment
205,160,4.509062502154144,10,increment
205,40,4.509062502154144,20,decrement
205,60,1.7796528105996556,20,decrement
205,80,2.2795384231052993,20,decrement
205,120,-0.5762905799345175,20,increment
205,140,1.075572189973765,20,increment
205,160,1.075572189973765,20,increment
206,40,4.194946608021216,0,decrement
206,60,4.194946608021216,0,decrement
206,80,0.8878756073261677,0,decrement
206,120,1.8905586068347435,0,increment
206,140,4.120082685883588,0,increment
206,160,1.8905586068347435,0,increment
206,40,4.9589337706033305,5,decrement
206,60,4.9589337706033305,5,decrement
206,80,2.729409691554486,5,decrement
206,120,1.3728064658166503,5,increment
206,140,1.9504677749572104,5,increment
206,160,1.9504677749572104,5,increment
206,40,4.9589337706033305,10,decrement
206,60,2.729409691554486,10,decrement
206,80,0.0,10,decrement
206,120,0.0,10,increment
206,140,1.6518627699082824,10,increment
206,160,4.9589337706033305,10,increment
206,40,3.3070710006950463,20,decrement
206,60,4.9589337706033305,20,decrement
206,80,0.0,20,decrement
206,120,0.0,20,increment
206,140,2.2295240790488426,20,increment
206,160,3.3070710006950463,20,increment
207,40,4.120082685883588,0,decrement
207,60,4.120082685883588,0,decrement
207,80,0.8130116851885395,0,decrement
207,120,1.2084335208062207,0,increment
207,140,1.7083191333118646,0,increment
207,160,3.9378432123607094,0,increment
207,40,2.4682199159753035,5,decrement
207,60,2.4682199159753035,5,decrement
207,80,-0.8388510847197428,5,decrement
207,120,1.7796528105996556,5,increment
207,140,1.2019915014590956,5,increment
207,160,2.2795384231052993,5,increment
207,40,4.194946608021216,10,decrement
207,60,2.5430838381129317,10,decrement
207,80,0.8878756073261677,10,decrement
207,120,1.3728064658166503,10,increment
207,140,1.3728064658166503,10,increment
207,160,1.9504677749572104,10,increment
207,40,4.382643190668814,20,decrement
207,60,4.382643190668814,20,decrement
207,80,1.075572189973765,20,decrement
207,120,1.2019915014590956,20,increment
207,140,2.2795384231052993,20,increment
207,160,2.2795384231052993,20,increment
208,40,3.3070710006950463,0,decrement
208,60,2.729409691554486,0,decrement
208,80,0.0,0,decrement
208,120,0.0,0,increment
208,140,2.729409691554486,0,increment
208,160,3.3070710006950463,0,increment
208,40,3.993107717348061,5,decrement
208,60,2.341244947439777,5,decrement
208,80,-0.9658260532552696,5,decrement
208,120,3.504059277841765,5,increment
208,140,3.504059277841765,5,increment
208,160,3.504059277841765,5,increment
208,40,4.679877466511699,10,decrement
208,60,4.679877466511699,10,decrement
208,80,1.9504677749572104,10,decrement
208,120,2.450353387462854,10,increment
208,140,1.3728064658166503,10,increment
208,160,1.3728064658166503,10,increment
208,40,2.5430838381129317,20,decrement
208,60,4.194946608021216,20,decrement
208,80,-0.7639871625821146,20,decrement
208,120,3.751908167382735,20,increment
208,140,1.5223840883338904,20,increment
208,160,3.751908167382735,20,increment
209,40,3.535538117092469,0,decrement
