participant,direction,grating,A0,a,start,A,B,n_step,best_model,lambda,d-prime
219,decrement,10,8,1.25,0.011,8,11,26.0,novel,11.766666666666667,1.0364781175833748
219,decrement,20,8,1.1,0.011,8,11,26.0,novel,19.5,1.1813678497292908
219,increment,0,2,1.13,0.013,2,11,26.0,novel,16.106666666666666,0.2715646192111288
219,increment,5,2,1.1,0.011,2,11,26.0,novel,20.23333333333333,1.2072930819409295
219,increment,10,2,1.25,0.011,0,11,26.0,novel,12.133333333333333,1.5653602355301703
219,increment,20,2,1.1,0.011,6,11,26.0,novel,20.246666666666663,1.733103926658212
220,decrement,0,5,1.07,0.01,4,16,9.0,novel,23.33333333333333,1.7342443655235034
220,decrement,5,5,1.15,0.01,5,16,9.0,novel,15.66,0.8797056399926934
220,decrement,10,5,1.1,0.011,5,16,9.0,novel,19.386666666666667,0.7149841158293042
220,decrement,20,5,1.11,0.011,5,16,9.0,novel,18.326666666666668,2.350530068399411
220,increment,0,3,1.07,0.01,3,16,9.0,novel,24.166666666666668,1.2773700714691458
220,increment,5,3,1.15,0.01,0,16,9.0,novel,16.253333333333334,1.2314281321726632
220,increment,10,3,1.1,0.011,3,16,9.0,novel,20.14,0.103349028539673
220,increment,20,3,1.11,0.011,1,16,9.0,novel,18.87333333333333,0.029013305190531986
221,decrement,0,3,1.09,0.011,1,0,23.0,novel,20.466666666666665,3.3059558470688866
221,decrement,5,3,1.1,0.011,3,0,23.0,novel,19.486666666666668,2.5627811540526055
221,decrement,10,3,1.11,0.011,3,0,23.0,novel,18.55333333333333,3.3059558470688866
221,decrement,20,3,1.1,0.011,2,0,23.0,novel,19.5,3.765887809137863
221,increment,0,3,1.09,0.011,7,0,23.0,novel,21.25333333333333,2.2035988468372043
221,increment,5,3,1.1,0.011,3,0,23.0,novel,20.266666666666666,2.3961526165507236
221,increment,10,3,1.11,0.011,3,0,23.0,novel,19.23333333333333,3.305955847068887
221,increment,20,3,1.1,0.011,3,0,23.0,novel,20.266666666666666,3.4985096167824064
222,decrement,0,3,1.07,0.011,2,0,,nonadapt,22.466666666666665,3.0268995429772545
222,decrement,5,3,1.1,0.011,4,0,,nonadapt,19.5,2.729665267134369
222,decrement,10,3,1.1,0.011,2,0,,nonadapt,19.5,3.665138154284288
222,decrement,20,3,1.1,0.011,2,0,,nonadapt,19.5,3.0268995429772545
222,increment,0,3,1.07,0.011,3,0,,nonadapt,23.4,1.157295537633853
222,increment,5,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,2.1735012563117357
222,increment,10,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,2.82045815527567
222,increment,20,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,1.365862915743622
223,decrement,0,3,1.07,0.011,2,0,,nonadapt,22.466666666666665,2.476278619674494
223,decrement,5,3,1.07,0.012,3,0,,nonadapt,21.466666666666665,2.7553349237661258
223,decrement,10,3,1.1,0.011,3,0,,nonadapt,19.5,4.049130540085168
223,decrement,20,3,1.09,0.015,4,0,,nonadapt,17.5,3.5775204662800157
223,increment,0,4,1.07,0.011,4,0,,nonadapt,23.4,2.475163466048333
223,increment,5,4,1.07,0.012,4,0,,nonadapt,22.4,2.204714000463364
223,increment,10,4,1.1,0.011,4,0,,nonadapt,20.266666666666666,3.113402077355366
223,increment,20,4,1.09,0.015,4,0,,nonadapt,18.266666666666666,2.203598846837204
224,decrement,0,4,1.15,0.008,5,0,15.0,novel,17.466666666666665,2.2837248499609735
224,decrement,5,4,1.18,0.008,5,0,15.0,novel,15.653333333333334,2.5627811540526055
224,decrement,10,4,1.13,0.011,4,0,15.0,novel,16.606666666666666,2.667717235761853
224,decrement,20,4,1.11,0.011,4,0,15.0,novel,18.546666666666667,3.026899542977255
224,increment,0,0,1.15,0.008,0,0,15.0,novel,17.773333333333333,1.4863493860325614
224,increment,5,0,1.18,0.008,0,0,15.0,novel,15.946666666666667,2.2035988468372043
224,increment,10,0,1.13,0.011,0,0,15.0,novel,17.2,2.2035988468372043
224,increment,20,0,1.11,0.011,2,0,15.0,novel,19.01333333333333,2.3961526165507236
225,decrement,0,1,1.07,0.012,0,0,,nonadapt,21.466666666666665,3.371079078578432
225,decrement,5,1,1.1,0.011,1,0,,nonadapt,19.5,1.8498263999691915
225,decrement,10,1,1.1,0.011,1,0,,nonadapt,19.5,3.4728399601506506
225,decrement,20,1,1.1,0.011,0,0,,nonadapt,19.5,3.0268995429772545
225,increment,0,4,1.07,0.012,4,0,,nonadapt,22.4,3.0268995429772545
225,increment,5,4,1.1,0.011,4,0,,nonadapt,20.266666666666666,1.395660424798776
225,increment,10,4,1.1,0.011,4,0,,nonadapt,20.266666666666666,2.946773539853485
225,increment,20,4,1.1,0.011,4,0,,nonadapt,20.266666666666666,1.733103926658212
226,decrement,0,2,1.11,0.011,7,0,21.0,novel,18.5,2.5627811540526055
226,decrement,5,2,1.1,0.011,2,0,21.0,novel,19.5,3.4067055019224615
226,decrement,10,2,1.1,0.011,2,0,21.0,novel,19.5,3.4728399601506506
226,decrement,20,2,1.1,0.011,4,0,21.0,novel,19.5,3.644325684718454
226,increment,0,1,1.11,0.011,1,0,21.0,novel,19.113333333333333,0.9100588060980437
226,increment,5,1,1.1,0.011,1,0,21.0,novel,20.25333333333333,1.7181011550439873
226,increment,10,1,1.1,0.011,1,0,21.0,novel,20.26,2.8560845786196993
226,increment,20,1,1.1,0.011,1,0,21.0,novel,20.266666666666666,2.6635308089061795
227,decrement,0,1,1.13,0.011,0,15,,nonadapt,16.666666666666668,2.3797270717008288
227,decrement,5,1,1.1,0.011,0,15,,nonadapt,19.5,3.5992592716359812
227,decrement,10,1,1.1,0.011,0,15,,nonadapt,19.5,2.729665267134369
227,decrement,20,1,1.1,0.013,2,15,,nonadapt,17.566666666666666,3.3102505537901146
227,increment,0,3,1.13,0.011,3,15,,nonadapt,17.266666666666666,2.7366464997742592
227,increment,5,3,1.1,0.011,3,15,,nonadapt,20.266666666666666,3.0268995429772545
227,increment,10,3,1.1,0.011,2,15,,nonadapt,20.266666666666666,2.370227384339085
227,increment,20,3,1.1,0.013,2,15,,nonadapt,18.3,3.832022267366052
228,decrement,0,2,1.12,0.01,2,0,24.0,novel,18.566666666666663,3.856576770371648
228,decrement,5,2,1.1,0.011,2,0,24.0,novel,19.5,4.120082685883588
228,decrement,10,2,1.09,0.011,3,0,24.0,novel,20.466666666666665,4.049130540085168
228,decrement,20,2,1.1,0.011,5,0,24.0,novel,19.5,3.026899542977255
228,increment,0,0,1.12,0.01,0,0,24.0,novel,19.2,4.049130540085168
228,increment,5,0,1.1,0.011,0,0,24.0,novel,20.23333333333333,3.1393273095670047
228,increment,10,0,1.09,0.011,0,0,24.0,novel,21.266666666666666,4.049130540085168
228,increment,20,0,1.1,0.011,0,0,24.0,novel,20.266666666666666,3.113402077355366
229,decrement,0,1,1.09,0.011,0,0,,nonadapt,20.466666666666665,3.5028043235036352
229,decrement,5,1,1.13,0.011,1,0,,nonadapt,16.666666666666668,3.4517719150049335
229,decrement,10,1,1.09,0.011,1,0,,nonadapt,20.466666666666665,2.890750717116378
229,decrement,20,1,1.07,0.011,2,0,,nonadapt,22.466666666666665,2.922219036847889
229,increment,0,3,1.09,0.011,3,0,,nonadapt,21.266666666666666,1.430326563295454
229,increment,5,3,1.13,0.011,3,0,,nonadapt,17.266666666666666,1.7181011550439873
229,increment,10,3,1.09,0.011,3,0,,nonadapt,21.266666666666666,2.467104762349144
229,increment,20,3,1.07,0.011,3,0,,nonadapt,23.4,2.6929674396197476
230,decrement,0,4,1.08,0.011,4,0,,nonadapt,21.466666666666665,2.7553349237661258
230,decrement,5,4,1.09,0.011,3,0,,nonadapt,20.466666666666665,2.8343457732637343
230,decrement,10,4,1.1,0.013,4,0,,nonadapt,17.566666666666666,3.0268995429772545
230,decrement,20,4,1.1,0.011,4,0,,nonadapt,19.5,2.476278619674494
230,increment,0,3,1.08,0.011,3,0,,nonadapt,22.33333333333333,3.026899542977256
230,increment,5,3,1.09,0.011,3,0,,nonadapt,21.266666666666666,2.8343457732637347
230,increment,10,3,1.1,0.013,2,0,,nonadapt,18.3,1.733103926658212
230,increment,20,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,3.4985096167824064
232,decrement,0,4,1.26,0.011,7,0,,nonadapt,11.766666666666667,3.2194533126907747
232,decrement,5,4,1.1,0.011,2,0,,nonadapt,19.5,3.856576770371648
232,decrement,10,4,1.09,0.014,4,0,,nonadapt,17.566666666666666,3.0888475743497703
232,decrement,20,4,1.1,0.011,0,0,,nonadapt,19.5,4.049130540085168
232,increment,0,3,1.26,0.011,0,0,,nonadapt,12.1,3.3059558470688866
232,increment,5,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,2.754219770139965
232,increment,10,3,1.09,0.014,2,0,,nonadapt,18.366666666666667,2.0121602307498443
232,increment,20,3,1.1,0.011,3,0,,nonadapt,20.266666666666666,4.049130540085168
233,decrement,0,1,1.09,0.011,0,0,,nonadapt,20.466666666666665,3.5992592716359812
233,decrement,5,1,1.1,0.011,1,0,,nonadapt,19.5,3.2499330243317797
233,decrement,10,1,1.09,0.011,1,0,,nonadapt,20.466666666666665,2.6279043855621502
233,decrement,20,1,1.1,0.009,0,0,,nonadapt,20.566666666666663,3.5028043235036352
233,increment,0,2,1.09,0.011,4,0,,nonadapt,21.266666666666666,3.8576919239978076
233,increment,5,2,1.1,0.011,2,0,,nonadapt,20.266666666666666,3.5377076160803127
233,increment,10,2,1.09,0.011,1,0,,nonadapt,21.266666666666666,3.856576770371648
233,increment,20,2,1.1,0.009,2,0,,nonadapt,21.33333333333333,3.5028043235036352
234,decrement,0,6,1.21,0.011,5,0,,nonadapt,12.766666666666667,1.3239240751357342
234,decrement,5,6,1.13,0.006,0,0,,nonadapt,21.566666666666663,0.8841335738864049
234,decrement,10,6,1.15,0.011,3,0,,nonadapt,15.633333333333333,0.16688411308176287
234,decrement,20,6,1.21,0.013,5,0,,nonadapt,11.766666666666667,1.627308266902686
234,increment,0,7,1.21,0.011,2,0,,nonadapt,13.2,0.2623907618857792
234,increment,5,7,1.13,0.006,7,0,,nonadapt,22.2,1.4606797294008045
234,increment,10,7,1.15,0.011,6,0,,nonadapt,16.2,0.6513705781563348
234,increment,20,7,1.21,0.013,3,0,,nonadapt,12.2,1.2681259596872845
235,decrement,0,2,1.04,0.011,1,0,25.0,novel,29.1,2.3427250123039065
235,decrement,5,2,1.1,0.011,2,0,25.0,novel,19.5,2.3128340903517866
235,decrement,10,2,1.1,0.011,2,0,25.0,novel,19.5,3.0512377220193194
235,decrement,20,2,1.08,0.014,2,0,25.0,novel,18.53333333333333,0.9181877642537445
235,increment,0,1,1.04,0.011,1,0,25.0,novel,30.566666666666663,1.1835711724417493
235,increment,5,1,1.1,0.011,1,0,25.0,novel,20.266666666666666,1.469923841182666
235,increment,10,1,1.1,0.011,1,0,25.0,novel,20.266666666666666,3.051034593208989
235,increment,20,1,1.08,0.014,1,0,25.0,novel,19.366666666666667,1.1393855005417433
236,decrement,0,3,1.11,0.011,5,0,16.0,novel,18.48,3.5775204662800157
236,decrement,5,3,1.11,0.011,3,0,16.0,novel,18.53333333333333,3.3059558470688866
236,decrement,10,3,1.1,0.011,2,0,16.0,novel,19.48,3.026899542977255
236,decrement,20,3,1.11,0.012,3,0,16.0,novel,17.506666666666668,3.026899542977255
