participant,scaling,d,grating_freq,direction
206,60,4.9589337706033305,5,decrement
206,80,2.729409691554486,5,decrement
206,120,1.6518627699082824,5,increment
206,140,2.729409691554486,5,increment
206,160,3.3070710006950463,5,increment
207,40,3.9378432123607094,5,decrement
207,60,3.9378432123607094,5,decrement
207,80,1.7083191333118646,5,decrement
207,120,-0.4498712684491868,5,increment
207,140,-0.4498712684491868,5,increment
207,160,2.2795384231052993,5,increment
208,40,4.194946608021215,5,decrement
208,60,1.9654225289723706,5,decrement
208,80,0.8878756073261665,5,decrement
208,120,0.0,5,increment
208,140,2.729409691554486,5,increment
208,160,4.9589337706033305,5,increment
209,40,2.729409691554486,5,decrement
209,60,4.9589337706033305,5,decrement
209,80,0.0,5,decrement
209,120,-0.6780514615067366,5,increment
209,140,2.0513582300477498,5,increment
209,160,2.62901953918831,5,increment
210,40,3.504059277841765,5,decrement
210,60,1.2745351987929203,5,decrement
210,80,0.1969882771467163,5,decrement
210,120,0.5319324993108933,5,increment
210,140,2.1871407300976573,5,increment
210,160,2.1871407300976573,5,increment
211,40,2.543083838112931,5,decrement
211,60,4.194946608021215,5,decrement
211,80,0.8878756073261665,5,decrement
211,120,0.9738113084015457,5,increment
211,140,2.0513582300477498,5,increment
211,160,1.5514726175421059,5,increment
212,40,4.679877466511699,5,decrement
212,60,4.679877466511699,5,decrement
212,80,1.3728064658166503,5,decrement
212,120,-0.4498712684491868,5,increment
212,140,1.2019915014590956,5,increment
212,160,2.8571997322458595,5,increment
213,40,4.194946608021215,5,decrement
213,60,4.194946608021215,5,decrement
213,80,1.4655369164667267,5,decrement
213,120,-0.4498712684491868,5,increment
213,140,1.7796528105996556,5,increment
213,160,1.2019915014590956,5,increment
214,40,4.382643190668813,5,decrement
214,60,4.382643190668813,5,decrement
214,80,-0.5762905799345179,5,decrement
214,120,1.7796528105996556,5,increment
214,140,2.8571997322458595,5,increment
214,160,4.509062502154144,5,increment
215,40,4.9589337706033305,5,decrement
215,60,2.729409691554486,5,decrement
215,80,0.0,5,decrement
215,120,1.7796528105996556,5,increment
215,140,2.2795384231052993,5,increment
215,160,2.8571997322458595,5,increment
216,40,4.382643190668813,5,decrement
216,60,2.7307804207605284,5,decrement
216,80,1.0755721899737645,5,decrement
216,120,2.2295240790488426,5,increment
216,140,2.2295240790488426,5,increment
216,160,2.729409691554486,5,increment
217,40,4.9589337706033305,5,decrement
217,60,3.3070710006950463,5,decrement
217,80,1.6518627699082824,5,decrement
217,120,0.0,5,increment
217,140,2.729409691554486,5,increment
217,160,3.3070710006950463,5,increment
218,40,2.62901953918831,5,decrement
218,60,2.0513582300477498,5,decrement
218,80,1.5514726175421059,5,decrement
