grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_text.stopped,b_instruct_text_2_.started,b_instruct_text_2_.stopped,prac_done_text.started,prac_done_text.stopped,instruct_text.started,instruct_text.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,blank.started,blank.stopped,resp.keys,resp.corr,resp.started,resp.stopped,direction,duration,trigger,stim_type,corr_ans,scaling,rest_text.started,rest_text.stopped,resp.rt,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
5,,,,,0,0,0,1,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,150.53615669999272,None,151.2012354999315,151.8011120997835,151.78447959991172,153.7852073998656,None,1,0.6108608897775412,2.6115995896980166,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,153.8020773997996,None,154.45191889978014,155.05220359982923,155.0357636997942,157.0363514998462,None,1,0.613295289920643,2.613905789796263,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,157.05346149997786,None,157.786586899776,158.38692279998213,158.37054279982112,160.37106649996713,None,1,0.6137437899596989,2.6142919901758432,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,164.46240099985152,None,167.77387369982898,None,168.49100709985942,169.09086139989085,169.0744323998224,171.07556439982727,None,1,0.611123489914462,2.6122636899817735,decreament,0.6,11,standard,None,100,160.3880966999568,None,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,171.0923436000012,None,171.7587389999535,172.35916389990598,172.3424099998083,174.34289619978517,None,1,0.6128882900811732,2.6133403899148107,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,174.35984970000573,None,175.22696199989878,175.82688659988344,175.81015689997002,177.81088039977476,None,1,0.6124011899810284,2.6131095900200307,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,177.82765179988928,None,178.47789909993298,179.07823089999147,179.06186979985796,181.06200869986787,None,1,0.609770089853555,2.6098461898509413,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,181.07917239982635,None,181.7295152998995,182.32938329991885,182.31286469986662,184.31348019978032,None,1,0.6092848898842931,2.6098757900763303,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,184.32997519988567,None,185.11399809992872,185.3637028997764,185.3305447997991,187.33172419993207,j,1,0.24365988979116082,2.245257389731705,decreament,0.24,12,oddball,j,40,,,0.9174532000906765,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,187.35011239978485,None,188.06501649995334,188.66552719986066,188.64869629987516,190.6495245997794,None,1,0.6111805900000036,2.612026290036738,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,190.66594360000454,None,191.34970469982363,191.94976649992168,191.93290049978532,193.93351249978878,None,1,0.6125146900303662,2.613095290027559,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,193.95025419979356,None,194.60085629997775,195.20091949985363,195.18421739991754,197.18452399992384,None,1,0.6127389899920672,2.612984189996496,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,197.20116269984283,None,197.75149679998867,198.35170409991406,198.33498169993982,200.33593219984323,None,1,0.6148248896934092,2.6157978898845613,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,200.35274449991994,None,200.9531686999835,201.55327199981548,201.53683829982765,203.53752809995785,None,1,0.6111735899467021,2.6121199899353087,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,203.5540268998593,None,204.22117619984783,204.82166489982046,204.80459099984728,206.80564429983497,None,1,0.6105983899906278,2.611687689786777,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,206.82217959989794,None,207.35548859997652,207.95566799980588,207.9391963998787,209.93944210000336,None,1,0.6105971899814904,2.6108014897909015,decreament,0.6,11,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
