participant,direction,grating,A0,a,start,A,B,n_step
217,decrement,5,8.0,1.05,0.011,3.0,0.0,18.0
217,decrement,10,8.0,1.08,0.015,6.0,0.0,18.0
217,decrement,20,8.0,1.1,0.011,8.0,0.0,18.0
217,increment,0,1.0,1.06,0.013,1.0,0.0,18.0
217,increment,5,1.0,1.05,0.011,6.0,0.0,18.0
217,increment,10,1.0,1.08,0.015,0.0,0.0,18.0
217,increment,20,1.0,1.1,0.011,1.0,0.0,18.0
218,decrement,0,8.0,1.19,0.01,5.0,11.0,30.0
218,decrement,5,8.0,1.09,0.011,6.0,11.0,30.0
218,decrement,10,8.0,1.1,0.011,3.0,11.0,30.0
218,decrement,20,8.0,1.17,0.011,8.0,11.0,30.0
218,increment,0,1.0,1.19,0.01,0.0,11.0,30.0
218,increment,5,1.0,1.09,0.011,6.0,11.0,30.0
218,increment,10,1.0,1.1,0.011,1.0,11.0,30.0
218,increment,20,1.0,1.17,0.011,1.0,11.0,30.0
219,decrement,0,8.0,1.11,0.011,8.0,0.0,22.0
219,decrement,5,8.0,1.1,0.011,7.0,0.0,22.0
219,decrement,10,8.0,1.09,0.011,7.0,0.0,22.0
219,decrement,20,8.0,1.15,0.011,8.0,0.0,22.0
219,increment,0,2.0,1.11,0.011,2.0,0.0,22.0
219,increment,5,2.0,1.1,0.011,2.0,0.0,22.0
219,increment,10,2.0,1.09,0.011,2.0,0.0,22.0
219,increment,20,2.0,1.15,0.011,0.0,0.0,22.0
220,decrement,0,8.0,1.13,0.013,8.0,0.0,28.0
220,decrement,5,8.0,1.28,0.011,8.0,0.0,28.0
220,decrement,10,8.0,1.1,0.011,7.0,0.0,28.0
220,decrement,20,8.0,1.09,0.01,7.0,0.0,28.0
220,increment,0,0.0,1.13,0.013,0.0,0.0,28.0
220,increment,5,0.0,1.28,0.011,0.0,0.0,28.0
220,increment,10,0.0,1.1,0.011,0.0,0.0,28.0
220,increment,20,0.0,1.09,0.01,0.0,0.0,28.0
221,decrement,0,8.0,1.08,0.011,4.0,5.0,21.0
221,decrement,5,8.0,1.11,0.011,8.0,5.0,21.0
221,decrement,10,8.0,1.1,0.011,5.0,5.0,21.0
221,decrement,20,8.0,1.1,0.011,7.0,5.0,21.0
221,increment,0,3.0,1.08,0.011,3.0,5.0,21.0
221,increment,5,3.0,1.11,0.011,0.0,5.0,21.0
221,increment,10,3.0,1.1,0.011,5.0,5.0,21.0
221,increment,20,3.0,1.1,0.011,2.0,5.0,21.0
222,decrement,0,8.0,1.04,0.006,0.0,13.0,26.0
222,decrement,5,8.0,1.1,0.011,7.0,13.0,26.0
222,decrement,10,8.0,1.1,0.011,5.0,13.0,26.0
222,decrement,20,8.0,1.08,0.011,8.0,13.0,26.0
222,increment,0,2.0,1.04,0.006,8.0,13.0,26.0
222,increment,5,2.0,1.1,0.011,0.0,13.0,26.0
222,increment,10,2.0,1.1,0.011,0.0,13.0,26.0
222,increment,20,2.0,1.08,0.011,1.0,13.0,26.0
223,decrement,0,8.0,1.04,0.015,7.0,0.0,20.0
223,decrement,5,8.0,1.07,0.011,8.0,0.0,20.0
223,decrement,10,8.0,1.09,0.009,8.0,0.0,20.0
223,decrement,20,8.0,1.08,0.011,7.0,0.0,20.0
223,increment,0,2.0,1.04,0.015,3.0,0.0,20.0
223,increment,5,2.0,1.07,0.011,1.0,0.0,20.0
223,increment,10,2.0,1.09,0.009,2.0,0.0,20.0
223,increment,20,2.0,1.08,0.011,0.0,0.0,20.0
224,decrement,0,8.0,1.12,0.011,8.0,11.0,24.0
224,decrement,5,8.0,1.09,0.011,8.0,11.0,24.0
224,decrement,10,8.0,1.08,0.011,8.0,11.0,24.0
224,decrement,20,8.0,1.09,0.011,8.0,11.0,24.0
224,increment,0,0.0,1.12,0.011,0.0,11.0,24.0
224,increment,5,0.0,1.09,0.011,0.0,11.0,24.0
224,increment,10,0.0,1.08,0.011,0.0,11.0,24.0
224,increment,20,0.0,1.09,0.011,0.0,11.0,24.0
225,decrement,0,7.0,1.08,0.011,7.0,0.0,16.0
225,decrement,5,7.0,1.08,0.014,7.0,0.0,16.0
225,decrement,10,7.0,1.1,0.011,7.0,0.0,16.0
225,decrement,20,7.0,1.1,0.011,4.0,0.0,16.0
225,increment,0,1.0,1.08,0.011,0.0,0.0,16.0
225,increment,5,1.0,1.08,0.014,1.0,0.0,16.0
225,increment,10,1.0,1.1,0.011,1.0,0.0,16.0
225,increment,20,1.0,1.1,0.011,1.0,0.0,16.0
226,decrement,0,8.0,1.14,0.013,0.0,0.0,28.0
226,decrement,5,8.0,1.1,0.013,0.0,0.0,28.0
226,decrement,10,8.0,1.11,0.011,0.0,0.0,28.0
226,decrement,20,8.0,1.18,0.011,4.0,0.0,28.0
226,increment,0,0.0,1.14,0.013,0.0,0.0,28.0
226,increment,5,0.0,1.1,0.013,3.0,0.0,28.0
226,increment,10,0.0,1.11,0.011,6.0,0.0,28.0
226,increment,20,0.0,1.18,0.011,0.0,0.0,28.0
227,decrement,0,6.0,1.13,0.015,6.0,11.0,26.0
227,decrement,5,6.0,1.09,0.011,2.0,11.0,26.0
227,decrement,10,6.0,1.26,0.011,6.0,11.0,26.0
227,decrement,20,6.0,1.1,0.011,4.0,11.0,26.0
227,increment,0,2.0,1.13,0.015,1.0,11.0,26.0
227,increment,5,2.0,1.09,0.011,2.0,11.0,26.0
227,increment,10,2.0,1.26,0.011,0.0,11.0,26.0
227,increment,20,2.0,1.1,0.011,2.0,11.0,26.0
228,decrement,0,8.0,1.19,0.011,4.0,0.0,17.0
228,decrement,5,8.0,1.14,0.011,8.0,0.0,17.0
228,decrement,10,8.0,1.15,0.011,3.0,0.0,17.0
228,decrement,20,8.0,1.1,0.013,3.0,0.0,17.0
228,increment,0,4.0,1.19,0.011,0.0,0.0,17.0
228,increment,5,4.0,1.14,0.011,4.0,0.0,17.0
228,increment,10,4.0,1.15,0.011,2.0,0.0,17.0
228,increment,20,4.0,1.1,0.013,0.0,0.0,17.0
229,decrement,0,6.0,1.03,0.015,4.0,0.0,16.0
229,decrement,5,6.0,1.1,0.011,6.0,0.0,16.0
229,decrement,10,6.0,1.1,0.01,6.0,0.0,16.0
229,decrement,20,6.0,1.09,0.011,4.0,0.0,16.0
229,increment,0,1.0,1.03,0.015,1.0,0.0,16.0
229,increment,5,1.0,1.1,0.011,1.0,0.0,16.0
229,increment,10,1.0,1.1,0.01,1.0,0.0,16.0
229,increment,20,1.0,1.09,0.011,0.0,0.0,16.0
230,decrement,0,8.0,1.08,0.011,4.0,12.0,20.0
230,decrement,5,8.0,1.07,0.01,6.0,12.0,20.0
230,decrement,10,8.0,1.1,0.011,7.0,12.0,20.0
230,decrement,20,8.0,1.1,0.011,6.0,12.0,20.0
230,increment,0,1.0,1.08,0.011,1.0,12.0,20.0
230,increment,5,1.0,1.07,0.01,1.0,12.0,20.0
230,increment,10,1.0,1.1,0.011,1.0,12.0,20.0
230,increment,20,1.0,1.1,0.011,1.0,12.0,20.0
232,decrement,0,8.0,1.14,0.011,8.0,0.0,29.0
232,decrement,5,8.0,1.09,0.011,8.0,0.0,29.0
232,decrement,10,8.0,1.1,0.011,8.0,0.0,29.0
232,decrement,20,8.0,1.1,0.011,5.0,0.0,29.0
232,increment,0,0.0,1.14,0.011,0.0,0.0,29.0
232,increment,5,0.0,1.09,0.011,0.0,0.0,29.0
232,increment,10,0.0,1.1,0.011,0.0,0.0,29.0
232,increment,20,0.0,1.1,0.011,0.0,0.0,29.0
233,decrement,0,8.0,1.06,0.011,7.0,0.0,30.0
