participant,type,HR,CR,d-prime
213,human,0.5833333333333334,0.9796296296296296,2.2402668416176317
214,nonadapt,0.6583333333333333,0.9694444444444444,2.26870315602167
214,adapt,0.5166666666666667,0.8472222222222222,1.0638673455390453
214,novel,0.6583333333333333,0.9685185185185186,2.255756202327323
214,human,0.6583333333333333,0.9694444444444444,2.26870315602167
215,nonadapt,0.6083333333333333,0.9842592592592593,2.4054617951801247
215,adapt,0.5583333333333333,0.9092592592592592,1.47855009616356
215,novel,0.6083333333333333,0.9814814814814815,2.342516175581527
215,human,0.6083333333333333,0.9907407407407407,2.5980217409675093
216,nonadapt,0.5083333333333333,0.975,1.9674720753520016
216,adapt,0.44166666666666665,0.9777777777777777,1.8485788422817415
216,novel,0.5083333333333333,0.9888888888888889,2.280406184817331
216,human,0.5083333333333333,0.9925925925925926,2.419540423000414
217,nonadapt,0.65,0.9805555555555555,2.433381313598919
217,adapt,0.5666666666666667,0.9518518518518518,1.823226261525766
217,novel,0.6583333333333333,0.975,2.3538179338389966
217,human,0.65,0.9972222222222222,3.071623104648219
218,nonadapt,0.4083333333333333,0.9777777777777777,1.7636362271902817
218,adapt,0.39166666666666666,0.9472222222222222,1.3371153201656274
218,novel,0.4,0.9592592592592593,1.4805668783805488
218,human,0.4,0.9601851851851851,1.4910724372398807
219,nonadapt,0.31666666666666665,0.9888888888888889,1.7833670434716378
219,adapt,0.31666666666666665,0.9861111111111112,1.701958378127573
219,novel,0.31666666666666665,0.9879629629629629,1.7545629047106528
219,human,0.31666666666666665,0.987037037037037,1.7274986725947963
220,nonadapt,0.44166666666666665,0.9037037037037037,1.1525239786113703
220,adapt,0.43333333333333335,0.9092592592592592,1.1644390504627602
220,novel,0.43333333333333335,0.9148148148148149,1.1989877676115106
220,human,0.43333333333333335,0.9148148148148149,1.1989877676115106
221,nonadapt,0.625,0.9842592592592593,2.449044174611808
221,adapt,0.5416666666666666,0.8796296296296297,1.2744510221545364
221,novel,0.625,0.9898148148148148,2.608452410957831
221,human,0.625,0.9981481481481481,3.102566567358961
222,nonadapt,0.6333333333333333,0.9694444444444444,2.201607528645276
222,adapt,0.4583333333333333,0.8361111111111111,0.871880713305725
222,novel,0.6333333333333333,0.9685185185185186,2.188660574950929
222,human,0.6333333333333333,0.9694444444444444,2.201607528645276
